PC=00000410 [FFF7C793] X15=FFFF0000 X15=0000FFFF X31=00000000 xori    a5,a5,-1
PC=00000414 [FEF41023] X00=00000000 X08=00500000 X15=FFFF0000 sh      a5,-32(s0/fp)
PC=00000418 [FE041023] X00=00000000 X08=00500000 X00=00000000 sh      zero,-32(s0/fp)
PC=0000041C [FEE45783] X15=0000FFFF X08=00500000 X14=0000FFFF lhu     a5,-18(s0/fp)
PC=00000420 [FFF7C793] X15=FFFF0000 X15=0000FFFF X31=00000000 xori    a5,a5,-1
PC=00000424 [FCF41F23] X30=00000000 X08=00500000 X15=FFFF0000 sh      a5,-34(s0/fp)
PC=00000428 [FC041F23] X30=00000000 X08=00500000 X00=00000000 sh      zero,-34(s0/fp)
PC=0000042C [FEC45783] X15=00000000 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000430 [FFF7C793] X15=FFFFFFFF X15=00000000 X31=00000000 xori    a5,a5,-1
PC=00000434 [FCF41E23] X28=00000000 X08=00500000 X15=FFFFFFFF sh      a5,-36(s0/fp)
PC=00000438 [FC041E23] X28=00000000 X08=00500000 X00=00000000 sh      zero,-36(s0/fp)
PC=0000043C [000057B7] X15=00005000 X00=00000000 X00=00000000 lui     a5,20480
PC=00000440 [55578793] X15=00005555 X15=00005000 X21=00000000 addi    a5,a5,1365
PC=00000444 [FEF41723] X14=0000FFFF X08=00500000 X15=00005555 sh      a5,-18(s0/fp)
PC=00000448 [FFFFB7B7] X15=FFFFB000 X31=00000000 X31=00000000 lui     a5,4294946816
PC=0000044C [AAA78793] X15=FFFFAAAA X15=FFFFB000 X10=00000000 addi    a5,a5,-1366
PC=00000450 [FEF41623] X12=00000000 X08=00500000 X15=FFFFAAAA sh      a5,-20(s0/fp)
PC=00000454 [FEE45703] X14=00005555 X08=00500000 X14=0000FFFF lhu     a4,-18(s0/fp)
PC=00000458 [FEC45783] X15=0000AAAA X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=0000045C [00F767B3] X15=0000FFFF X14=00005555 X15=0000AAAA or      a5,a4,a5
PC=00000460 [FEF41523] X10=00000000 X08=00500000 X15=0000FFFF sh      a5,-22(s0/fp)
PC=00000464 [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=00000468 [FEE45703] X14=00005555 X08=00500000 X14=00005555 lhu     a4,-18(s0/fp)
PC=0000046C [FEC45783] X15=0000AAAA X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000470 [00F777B3] X15=00000000 X14=00005555 X15=0000AAAA and     a5,a4,a5
PC=00000474 [FEF41423] X08=00500000 X08=00500000 X15=00000000 sh      a5,-24(s0/fp)
PC=00000478 [FE041423] X08=00500000 X08=00500000 X00=00000000 sh      zero,-24(s0/fp)
PC=0000047C [FEE45703] X14=00005555 X08=00500000 X14=00005555 lhu     a4,-18(s0/fp)
PC=00000480 [FEC45783] X15=0000AAAA X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000484 [00F747B3] X15=0000FFFF X14=00005555 X15=0000AAAA xor     a5,a4,a5
PC=00000488 [FEF41323] X06=00000000 X08=00500000 X15=0000FFFF sh      a5,-26(s0/fp)
PC=0000048C [FE041323] X06=00000000 X08=00500000 X00=00000000 sh      zero,-26(s0/fp)
PC=00000490 [FEE45703] X14=00005555 X08=00500000 X14=00005555 lhu     a4,-18(s0/fp)
PC=00000494 [FEC45783] X15=0000AAAA X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000498 [00F767B3] X15=0000FFFF X14=00005555 X15=0000AAAA or      a5,a4,a5
PC=0000049C [01079793] X15=FFFF0000 X15=0000FFFF X16=00000000 slli    a5,a5,16
PC=000004A0 [0107D793] X15=0000FFFF X15=FFFF0000 X16=00000000 srli    a5,a5,16
PC=000004A4 [FFF7C793] X15=FFFF0000 X15=0000FFFF X31=00000000 xori    a5,a5,-1
PC=000004A8 [FEF41223] X04=00000000 X08=00500000 X15=FFFF0000 sh      a5,-28(s0/fp)
PC=000004AC [FE041223] X04=00000000 X08=00500000 X00=00000000 sh      zero,-28(s0/fp)
PC=000004B0 [FEE45703] X14=00005555 X08=00500000 X14=00005555 lhu     a4,-18(s0/fp)
PC=000004B4 [FEC45783] X15=0000AAAA X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000004B8 [00F777B3] X15=00000000 X14=00005555 X15=0000AAAA and     a5,a4,a5
PC=000004BC [01079793] X15=00000000 X15=00000000 X16=00000000 slli    a5,a5,16
PC=000004C0 [0107D793] X15=00000000 X15=00000000 X16=00000000 srli    a5,a5,16
PC=000004C4 [FFF7C793] X15=FFFFFFFF X15=00000000 X31=00000000 xori    a5,a5,-1
PC=000004C8 [FEF41123] X02=004FFFD0 X08=00500000 X15=FFFFFFFF sh      a5,-30(s0/fp)
PC=000004CC [FE041123] X02=004FFFD0 X08=00500000 X00=00000000 sh      zero,-30(s0/fp)
PC=000004D0 [FEE45703] X14=00005555 X08=00500000 X14=00005555 lhu     a4,-18(s0/fp)
PC=000004D4 [FEC45783] X15=0000AAAA X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000004D8 [00F747B3] X15=0000FFFF X14=00005555 X15=0000AAAA xor     a5,a4,a5
PC=000004DC [01079793] X15=FFFF0000 X15=0000FFFF X16=00000000 slli    a5,a5,16
PC=000004E0 [0107D793] X15=0000FFFF X15=FFFF0000 X16=00000000 srli    a5,a5,16
PC=000004E4 [FFF7C793] X15=FFFF0000 X15=0000FFFF X31=00000000 xori    a5,a5,-1
PC=000004E8 [FEF41023] X00=00000000 X08=00500000 X15=FFFF0000 sh      a5,-32(s0/fp)
