PC=000002B8 [00F806B3] X13=00000000 X16=00000000 X15=00000000 add     a3,a6,a5
PC=000002BC [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=000002C0 [FEE42423] X08=00500000 X08=00500000 X14=0000000F sw      a4,-24(s0/fp)
PC=000002C4 [FEF42623] X12=0000000E X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=000002C8 [FE445783] X15=00000000 X08=00500000 X04=00000000 lhu     a5,-28(s0/fp)
PC=000002CC [FFF78713] X14=FFFFFFFF X15=00000000 X31=00000000 addi    a4,a5,-1
PC=000002D0 [FEE41223] X04=00000000 X08=00500000 X14=FFFFFFFF sh      a4,-28(s0/fp)
PC=000002D8 [FC0792E3] X05=00000000 X15=00000000 X00=00000000 bne     a5,zero,-60
PC=000002D8 [FE041223] X04=00000000 X08=00500000 X00=00000000 sh      zero,-28(s0/fp)
PC=000002DC [00500793] X15=00000005 X00=00000000 X05=00000000 addi    a5,zero,5
PC=000002E0 [FEF41123] X02=004FFFC0 X08=00500000 X15=00000005 sh      a5,-30(s0/fp)
PC=000002E4 [0340006F] X00=00000000 X00=00000000 X20=00000000 jal     zero,52
PC=00000318 [FE241783] X15=00000005 X08=00500000 X02=004FFFC0 lh      a5,-30(s0/fp)
PC=0000031C [01079713] X14=00050000 X15=00000005 X16=00000000 slli    a4,a5,16
PC=00000320 [01075713] X14=00000005 X14=00050000 X16=00000000 srli    a4,a4,16
PC=00000324 [FFF70713] X14=00000004 X14=00000005 X31=00000000 addi    a4,a4,-1
