PC=000003AC [FDC42703] X14=0000000A X08=00500000 X28=00000000 lw      a4,-36(s0/fp)
PC=000003B0 [FD842783] X15=FFFFFFFB X08=00500000 X24=00000000 lw      a5,-40(s0/fp)
PC=000003B4 [40F707B3] X15=0000000F X14=0000000A X15=FFFFFFFB sub     a5,a4,a5
PC=000003B8 [FCF42A23] X20=00000000 X08=00500000 X15=0000000F sw      a5,-44(s0/fp)
PC=000003BC [FC042A23] X20=00000000 X08=00500000 X00=00000000 sw      zero,-44(s0/fp)
PC=000003C0 [00500793] X15=00000005 X00=00000000 X05=00000000 addi    a5,zero,5
PC=000003C4 [FCF42E23] X28=00000000 X08=00500000 X15=00000005 sw      a5,-36(s0/fp)
PC=000003C8 [FF600793] X15=FFFFFFF6 X00=00000000 X22=00000000 addi    a5,zero,-10
PC=000003CC [FCF42C23] X24=00000000 X08=00500000 X15=FFFFFFF6 sw      a5,-40(s0/fp)
PC=000003D0 [FDC42703] X14=00000005 X08=00500000 X28=00000000 lw      a4,-36(s0/fp)
PC=000003D4 [FD842783] X15=FFFFFFF6 X08=00500000 X24=00000000 lw      a5,-40(s0/fp)
PC=000003D8 [40F707B3] X15=0000000F X14=00000005 X15=FFFFFFF6 sub     a5,a4,a5
PC=000003DC [FCF42A23] X20=00000000 X08=00500000 X15=0000000F sw      a5,-44(s0/fp)
PC=000003E0 [FC042A23] X20=00000000 X08=00500000 X00=00000000 sw      zero,-44(s0/fp)
PC=000003E4 [0F0F17B7] X15=0F0F1000 X30=00000000 X16=00000000 lui     a5,252645376
PC=000003E8 [F0F78793] X15=0F0F0F0F X15=0F0F1000 X15=0F0F1000 addi    a5,a5,-241
PC=000003EC [FCF42E23] X28=00000000 X08=00500000 X15=0F0F0F0F sw      a5,-36(s0/fp)
PC=000003F0 [F0F0F7B7] X15=F0F0F000 X01=000001C0 X15=0F0F0F0F lui     a5,4042321920
PC=000003F4 [0F078793] X15=F0F0F0F0 X15=F0F0F000 X16=00000000 addi    a5,a5,240
PC=000003F8 [FCF42C23] X24=00000000 X08=00500000 X15=F0F0F0F0 sw      a5,-40(s0/fp)
PC=000003FC [FDC42703] X14=0F0F0F0F X08=00500000 X28=00000000 lw      a4,-36(s0/fp)
PC=00000400 [FD842783] X15=F0F0F0F0 X08=00500000 X24=00000000 lw      a5,-40(s0/fp)
PC=00000404 [40F707B3] X15=1E1E1E1F X14=0F0F0F0F X15=F0F0F0F0 sub     a5,a4,a5
PC=00000408 [FCF42A23] X20=00000000 X08=00500000 X15=1E1E1E1F sw      a5,-44(s0/fp)
PC=0000040C [FC042A23] X20=00000000 X08=00500000 X00=00000000 sw      zero,-44(s0/fp)
PC=00000410 [AAAAB7B7] X15=AAAAB000 X21=00000000 X10=00000000 lui     a5,2863312896
PC=00000414 [AAA78793] X15=AAAAAAAA X15=AAAAB000 X10=00000000 addi    a5,a5,-1366
PC=00000418 [FCF42E23] X28=00000000 X08=00500000 X15=AAAAAAAA sw      a5,-36(s0/fp)
PC=0000041C [555557B7] X15=55555000 X10=00000000 X21=00000000 lui     a5,1431654400
PC=00000420 [55578793] X15=55555555 X15=55555000 X21=00000000 addi    a5,a5,1365
